Instance Name; Instance ID, AWS Region
SC-LABS_ActionsWorker_i-31931453;i-31931453;
SC-STAGE-UE1-A_ServiceContainer_i-82ed19e1;i-82ed19e1;
SC-PROD-EW1-B_VideoWorker_i-586d4c15;i-586d4c15;
SC-PROD-UE1-B_CombinePDFLinuxWorker_i-e29fc383;i-e29fc383;
SC-STAGE-EW1-A_ServiceContainer_i-30031a7d;i-30031a7d;
SC-STAGE-EW1-A_STDWorker_i-ea4543a7;i-ea4543a7;
SC-PROD-EW1-B_VideoWorker_i-a07422ed;i-a07422ed;
SC-PROD-UE1-B_ExportPDFWorker_i-42cd6b21;i-42cd6b21;
Test_Zabbix_proxy_ANS;i-9995dff6;
SC-DEV-PERMANENT_Solr4-stfricke8;i-256d7554;
SC-DEV-QE1_ServiceContainer_i-8e8a72e4;i-8e8a72e4;
SC-PROD-UE1-B_ExportPDFWorker_i-c2e484a7;i-c2e484a7;
SC-STAGE-EW1-A_ServiceContainer_i-d000199d;i-d000199d;
SC-STAGE-EW1-A_STDWorker_i-04424449;i-04424449;
SC-STAGE-UE1-A_ServiceContainer_i-3e4a6852;i-3e4a6852;
SC-DEV-QE1_CRWorker_i-61411b0c;i-61411b0c;
SC-PROD-AN1-B_IDWorker_i-36b8e534;i-36b8e534;
SC-STAGE-AN1-A_XMPWorker_i-08521b0a;i-08521b0a;
SC-STAGE-EW1-A_ServiceContainer_i-09c82f45;i-09c82f45;
SC-PROD-EW1-B_UCFWorker_i-fe82a4b3;i-fe82a4b3;
SC-DEV-QE2_IDWorker_i-42196023;i-42196023;
SC-PROD-UE1-B_PDFWorker_i-a0aeb7c1;i-a0aeb7c1;
SC-PROD-UE1-B_ExportPDFWorker_i-a54542c8;i-a54542c8;
SC-PROD-AN1-B_VideoRightsWorker_i-86ffa884;i-86ffa884;
SC-PROD-EW1-B_CRWorker_i-e8b588a5;i-e8b588a5;
jenkinsTestAgent_53;i-b5601ad1;
SC-PROD-UE1-B_UCFWorker_i-b8e3d4d3;i-b8e3d4d3;
SC-STAGE-UE1-A_LocalGroverContainer_i-c16745a1;i-c16745a1;
SC-PROD-EW1-B_VideoStreamingWorker_i-5cd48811;i-5cd48811;
SC-PROD-EW1-B_VideoWorker_i-be5d0bf3;i-be5d0bf3;
SC-PROD-EW1-B_PSLWorker_i-825e07cf;i-825e07cf;
SC-PROD-UE1-B_CRWorker_i-b46bf0da;i-b46bf0da;
SC-DEV-EU-QE1_CollageWorker_i-08300745;i-08300745;
SC-PROD-EW1-B_HTML2PDFWorker_i-38420875;i-38420875;
SC-DEV-BAT-A_ServiceContainer_i-1b5ccf76;i-1b5ccf76;
SC-STAGE-EW1-A_STDWorker_i-6043452d;i-6043452d;
SC-PROD-UE1-B_ExportPDFWorker_i-22c9d041;i-22c9d041;
SC-STAGE-EW1-A_PSLWorker_i-7a999837;i-7a999837;
SC-PROD-UE1-B_VideoWorker_i-4b468526;i-4b468526;
SC-PROD-UE1-B_VideoWorker_i-882538e6;i-882538e6;
SC-PROD-UE1-B_PDFWorker_i-4c4f092f;i-4c4f092f;
SC-STAGE-EW1-A_STDWorker_i-7a404637;i-7a404637;
SC-PROD-EW1-B_VideoWorker_i-b4252df9;i-b4252df9;
SC-PROD-AN1-B_UCFWorker_i-00bd5d04;i-00bd5d04;
SC-DEV-SOLR-RECOVERY-TEST_Solr4_33;i-5a83d620;
SC-PROD-UE1-PERMANENT_Solr4-social-1;i-dd90d5ac;
SC-STAGE-EW1-A_PDFWorker_i-44424409;i-44424409;
SC-STAGE-UE1-A_ComboIdeasLuckyWorker_i-1b5bb173;i-1b5bb173;
SC-STAGE-EW1-A_ServiceContainer_i-72031a3f;i-72031a3f;
SC-STAGE-EW1-A_ServiceContainer_i-ca031a87;i-ca031a87;
SC-STAGE-EW1-A_PSLWorker_i-86f5f7cb;i-86f5f7cb;
SC-STAGE-EW1-A_STDWorker_i-604e482d;i-604e482d;
SC-PROD-UE1-B_PSLWorker_i-4fb4942d;i-4fb4942d;
SC-STAGE-UE1-A_ServiceContainer_i-6d510f02;i-6d510f02;
SC-PROD-EW1-B_UCFWorker_i-fa4208b7;i-fa4208b7;
SC-PROD-UE1-B_ExportPDFWorker_i-9f07b3fd;i-9f07b3fd;
SC-PROD-EW1-B_VideoStreamingWorker_i-606b332d;i-606b332d;
SC-PROD-EW1-B_VideoWorker_i-5e3d0713;i-5e3d0713;
SC-STAGE-UE1-A_VideoWorker_i-121b6871;i-121b6871;
SC-STAGE-EW1-A_STDWorker_i-1a424457;i-1a424457;
SC-DEV-BAT-A_ServiceContainer_i-843713e8;i-843713e8;
SC-STAGE-EW1-A_ServiceContainer_i-4217140f;i-4217140f;
SC-STAGE-EW1-A_ServiceContainer_i-e2383eaf;i-e2383eaf;
SC-STAGE-UE1-A_VideoWorker_i-76774518;i-76774518;
SC-DEV-QE1_ClamAVWorker_i-643e450d;i-643e450d;
SC-STAGE-EW1-A_STDWorker_i-a64046eb;i-a64046eb;
SC-STAGE-UE1-A_PSLWorker_i-1e1b0d77;i-1e1b0d77;
SC-PROD-EW1-B_PDFWorker_i-f02673bd;i-f02673bd;
jenkinsNeo4JWriteWorker_43;i-e3ceb587;
SC-PROD-UE1-B_STDWorker_i-e051a28c;i-e051a28c;
SC-STAGE-UE1-A_VideoStreamingWorker_i-e3e2148b;i-e3e2148b;
SC-DEV-QE1_DeblurImageWorker_i-7d24901d;i-7d24901d;
SC-PROD-AN1-B_VideoStreamingWorker_i-da5402d8;i-da5402d8;
SC-PROD-UE1-B_ExportPDFWorker_i-1e21b076;i-1e21b076;
SC-PROD-EW1-B_VideoWorker_i-c272388f;i-c272388f;
SC-DEV-QE1_CreatePDFWorker-PUB_i-7d91c510;i-7d91c510;
SC-STAGE-EW1-A_ServiceContainer_i-b8031af5;i-b8031af5;
SC-PROD-UE1-B_ExportPDFWorker_i-c4de2ca5;i-c4de2ca5;
SC-PROD-EW1-B_VideoWorker_i-b6252dfb;i-b6252dfb;
SC-STAGE-EW1-A_ServiceContainer_i-4e3f3903;i-4e3f3903;
SC-STAGE-EW1-A_ServiceContainer_i-18393f55;i-18393f55;
SC-STAGE-UE1-A_PSLWorker_i-88af8beb;i-88af8beb;
SC-PROD-EW1-A_PSLWorker_i-e9db3aa5;i-e9db3aa5;
SC-STAGE-EW1-A_ServiceContainer_i-7cc6c031;i-7cc6c031;
SC-DEV-QE1_DeblurImageWorker_i-b92c29d1;i-b92c29d1;
SC-PROD-AN1-B_VideoStreamingWorker_i-c88669cc;i-c88669cc;
SC-STAGE-EW1-A_PSLWorker_i-1a434557;i-1a434557;
SC-PROD-UE1-B_ExportPDFWorker_i-7add591b;i-7add591b;
SC-STAGE-EW1-A_ServiceContainer_i-821013cf;i-821013cf;
SC-PROD-EW1-B_STDWorker_i-982528d5;i-982528d5;
SC-STAGE-EW1-A_PSLWorker_i-bc4543f1;i-bc4543f1;
SC-STAGE-UE1-A_STDWorker_i-4f99d32f;i-4f99d32f;
SC-PROD-AN1-B_PSLWorker_i-0ac7280e;i-0ac7280e;
SC-PROD-EW1-B_PDFWorker_i-683d1225;i-683d1225;
SC-DEV-QE1_IDWorker_i-0b91c566;i-0b91c566;
SC-PROD-EW1-B_UCFWorker_i-08b3a145;i-08b3a145;
SC-STAGE-EW1-A_ServiceContainer_i-ba0019f7;i-ba0019f7;
SC-PROD-AN1-B_STDWorker_i-40b9e442;i-40b9e442;
SC-STAGE-EW1-A_ServiceContainer_i-da001997;i-da001997;
SC-PROD-UE1-B_CRWorker_i-a95beecb;i-a95beecb;
SC-PROD-UE1-B_ExportPDFWorker_i-5907b33b;i-5907b33b;
SC-STAGE-AN1-A_XMPWorker_i-a86838aa;i-a86838aa;
SC-PROD-UE1-B_ExportPDFWorker_i-2e2ed742;i-2e2ed742;
SC-DEV-QE1_LocalGroverContainer_i-8ea112ef;i-8ea112ef;
SC-STAGE-UE1-A_PSLWorker_i-c1599dae;i-c1599dae;
SC-PROD-UE1-B_ExportPDFWorker_i-d18af4be;i-d18af4be;
SC-PROD-EW1-B_MatroshkaContainer_i-40df950d;i-40df950d;
SC-STAGE-EW1-A_ServiceContainer_i-e80019a5;i-e80019a5;
